001  00119 |Loss: 1.964 | Acc: 50.000% 
001  00120 |Loss: 1.958 | Acc: 50.000% 
001  00121 |Loss: 1.955 | Acc: 49.000% 
001  00122 |Loss: 1.953 | Acc: 49.000% 
001  00123 |Loss: 1.952 | Acc: 49.000% 
001  00124 |Loss: 1.941 | Acc: 49.000% 
001  00125 |Loss: 1.933 | Acc: 49.000% 
001  00126 |Loss: 1.922 | Acc: 49.000% 
001  00127 |Loss: 1.915 | Acc: 49.000% 
001  00128 |Loss: 1.907 | Acc: 49.000% 
001  00129 |Loss: 1.897 | Acc: 49.000% 
001  00130 |Loss: 1.888 | Acc: 50.000% 
001  00131 |Loss: 1.878 | Acc: 50.000% 
001  00132 |Loss: 1.868 | Acc: 50.000% 
001  00133 |Loss: 1.863 | Acc: 50.000% 
001  00134 |Loss: 1.855 | Acc: 50.000% 
001  00135 |Loss: 1.846 | Acc: 50.000% 
001  00136 |Loss: 1.837 | Acc: 50.000% 
001  00137 |Loss: 1.829 | Acc: 50.000% 
001  00138 |Loss: 1.825 | Acc: 50.000% 
001  00139 |Loss: 1.815 | Acc: 50.000% 
001  00140 |Loss: 1.808 | Acc: 50.000% 
001  00141 |Loss: 1.802 | Acc: 50.000% 
001  00142 |Loss: 1.795 | Acc: 50.000% 
001  00143 |Loss: 1.789 | Acc: 50.000% 
001  00144 |Loss: 1.783 | Acc: 50.000% 
001  00145 |Loss: 1.775 | Acc: 50.000% 
001  00146 |Loss: 1.765 | Acc: 50.000% 
001  00147 |Loss: 1.757 | Acc: 50.000% 
001  00148 |Loss: 1.748 | Acc: 50.000% 
001  00149 |Loss: 1.738 | Acc: 50.000% 
001  00150 |Loss: 1.731 | Acc: 50.000% 
001  00151 |Loss: 1.723 | Acc: 50.000% 
001  00152 |Loss: 1.718 | Acc: 51.000% 
001  00153 |Loss: 1.711 | Acc: 51.000% 
001  00154 |Loss: 1.716 | Acc: 51.000% 
001  00155 |Loss: 1.708 | Acc: 51.000% 
001  00156 |Loss: 1.717 | Acc: 51.000% 
001  00157 |Loss: 1.721 | Acc: 51.000% 
001  00158 |Loss: 1.719 | Acc: 51.000% 
001  00159 |Loss: 1.709 | Acc: 51.000% 
001  00160 |Loss: 1.710 | Acc: 51.000% 
001  00161 |Loss: 1.706 | Acc: 51.000% 
001  00162 |Loss: 1.702 | Acc: 51.000% 
001  00163 |Loss: 1.697 | Acc: 51.000% 
001  00164 |Loss: 1.693 | Acc: 51.000% 
001  00165 |Loss: 1.686 | Acc: 51.000% 
001  00166 |Loss: 1.681 | Acc: 51.000% 
001  00167 |Loss: 1.676 | Acc: 51.000% 
001  00168 |Loss: 1.672 | Acc: 51.000% 
001  00169 |Loss: 1.665 | Acc: 51.000% 
001  00170 |Loss: 1.659 | Acc: 51.000% 
001  00171 |Loss: 1.654 | Acc: 52.000% 
001  00172 |Loss: 1.664 | Acc: 51.000% 
001  00173 |Loss: 1.657 | Acc: 52.000% 
001  00174 |Loss: 1.661 | Acc: 51.000% 
001  00175 |Loss: 1.656 | Acc: 52.000% 
001  00176 |Loss: 1.650 | Acc: 51.000% 
001  00177 |Loss: 1.647 | Acc: 51.000% 
001  00178 |Loss: 1.645 | Acc: 51.000% 
001  00179 |Loss: 1.639 | Acc: 51.000% 
001  00180 |Loss: 1.637 | Acc: 51.000% 
001  00181 |Loss: 1.637 | Acc: 51.000% 
001  00182 |Loss: 1.630 | Acc: 51.000% 
001  00183 |Loss: 1.635 | Acc: 51.000% 
001  00184 |Loss: 1.628 | Acc: 51.000% 
001  00185 |Loss: 1.623 | Acc: 51.000% 
001  00186 |Loss: 1.622 | Acc: 51.000% 
001  00187 |Loss: 1.618 | Acc: 51.000% 
001  00188 |Loss: 1.615 | Acc: 51.000% 
001  00189 |Loss: 1.610 | Acc: 51.000% 
001  00190 |Loss: 1.606 | Acc: 51.000% 
001  00191 |Loss: 1.602 | Acc: 51.000% 
001  00192 |Loss: 1.597 | Acc: 51.000% 
001  00193 |Loss: 1.593 | Acc: 51.000% 
001  00194 |Loss: 1.590 | Acc: 51.000% 
001  00195 |Loss: 1.586 | Acc: 51.000% 
001  00196 |Loss: 1.581 | Acc: 51.000% 
001  00197 |Loss: 1.577 | Acc: 51.000% 
001  00198 |Loss: 1.579 | Acc: 51.000% 
001  00199 |Loss: 1.575 | Acc: 50.000% 
001  00200 |Loss: 1.570 | Acc: 50.000% 
001  00201 |Loss: 1.564 | Acc: 51.000% 
001  00202 |Loss: 1.562 | Acc: 51.000% 
001  00203 |Loss: 1.555 | Acc: 51.000% 
001  00204 |Loss: 1.550 | Acc: 51.000% 
001  00205 |Loss: 1.550 | Acc: 51.000% 
001  00206 |Loss: 1.549 | Acc: 51.000% 
001  00207 |Loss: 1.544 | Acc: 51.000% 
001  00208 |Loss: 1.538 | Acc: 51.000% 
001  00209 |Loss: 1.544 | Acc: 51.000% 
001  00210 |Loss: 1.540 | Acc: 51.000% 
001  00211 |Loss: 1.535 | Acc: 51.000% 
001  00212 |Loss: 1.541 | Acc: 51.000% 
001  00213 |Loss: 1.536 | Acc: 51.000% 
001  00214 |Loss: 1.531 | Acc: 51.000% 
001  00215 |Loss: 1.526 | Acc: 51.000% 
001  00216 |Loss: 1.521 | Acc: 51.000% 
001  00217 |Loss: 1.515 | Acc: 51.000% 
001  00218 |Loss: 1.515 | Acc: 51.000% 
001  00219 |Loss: 1.511 | Acc: 51.000% 
001  00220 |Loss: 1.507 | Acc: 51.000% 
001  00221 |Loss: 1.502 | Acc: 52.000% 
001  00222 |Loss: 1.498 | Acc: 52.000% 
001  00223 |Loss: 1.493 | Acc: 52.000% 
001  00224 |Loss: 1.489 | Acc: 52.000% 
001  00225 |Loss: 1.488 | Acc: 52.000% 
001  00226 |Loss: 1.485 | Acc: 52.000% 
001  00227 |Loss: 1.481 | Acc: 52.000% 
001  00228 |Loss: 1.482 | Acc: 52.000% 
001  00229 |Loss: 1.483 | Acc: 51.000% 
001  00230 |Loss: 1.482 | Acc: 51.000% 
001  00231 |Loss: 1.480 | Acc: 51.000% 
001  00232 |Loss: 1.477 | Acc: 51.000% 
001  00233 |Loss: 1.476 | Acc: 51.000% 
001  00234 |Loss: 1.473 | Acc: 51.000% 
001  00235 |Loss: 1.471 | Acc: 51.000% 
001  00236 |Loss: 1.477 | Acc: 51.000% 
001  00237 |Loss: 1.478 | Acc: 51.000% 
001  00238 |Loss: 1.483 | Acc: 51.000% 
001  00239 |Loss: 1.480 | Acc: 51.000% 
001  00240 |Loss: 1.476 | Acc: 51.000% 
001  00241 |Loss: 1.470 | Acc: 51.000% 
001  00242 |Loss: 1.468 | Acc: 51.000% 
001  00243 |Loss: 1.473 | Acc: 51.000% 
001  00244 |Loss: 1.491 | Acc: 51.000% 
001  00245 |Loss: 1.494 | Acc: 51.000% 
001  00246 |Loss: 1.503 | Acc: 51.000% 
001  00247 |Loss: 1.500 | Acc: 51.000% 
001  00248 |Loss: 1.496 | Acc: 51.000% 
001  00249 |Loss: 1.495 | Acc: 51.000% 
001  00250 |Loss: 1.501 | Acc: 51.000% 
001  00251 |Loss: 1.498 | Acc: 51.000% 
001  00252 |Loss: 1.505 | Acc: 51.000% 
001  00253 |Loss: 1.505 | Acc: 50.000% 
001  00254 |Loss: 1.501 | Acc: 50.000% 
001  00255 |Loss: 1.502 | Acc: 50.000% 
001  00256 |Loss: 1.500 | Acc: 50.000% 
001  00257 |Loss: 1.497 | Acc: 50.000% 
001  00258 |Loss: 1.494 | Acc: 50.000% 
001  00259 |Loss: 1.495 | Acc: 50.000% 
001  00260 |Loss: 1.498 | Acc: 50.000% 
001  00261 |Loss: 1.496 | Acc: 50.000% 
001  00262 |Loss: 1.492 | Acc: 50.000% 
001  00263 |Loss: 1.491 | Acc: 50.000% 
001  00264 |Loss: 1.488 | Acc: 50.000% 
001  00265 |Loss: 1.485 | Acc: 50.000% 
001  00266 |Loss: 1.482 | Acc: 50.000% 
001  00267 |Loss: 1.479 | Acc: 50.000% 
001  00268 |Loss: 1.476 | Acc: 50.000% 
001  00269 |Loss: 1.473 | Acc: 50.000% 
001  00270 |Loss: 1.471 | Acc: 50.000% 
001  00271 |Loss: 1.468 | Acc: 50.000% 
001  00272 |Loss: 1.465 | Acc: 50.000% 
001  00273 |Loss: 1.463 | Acc: 50.000% 
